AÑO,CATEGORIAS,COMUNIDAD AUTONOMA,CANTIDAD
2000,T.HUEVOS KGS,ESPAÑA,422361.64
2000,OTRAS AVES,ESPAÑA,55464.45
2000,MIEL,ESPAÑA,18497.370000000003
2000,CARNE VACUNO,ESPAÑA,299893.85
2000,CARNE POLLO,ESPAÑA,557173.9500000001
2000,CARNE CONEJO,ESPAÑA,55305.83999999999
2000,CARNE OVINO/CAPRINO,ESPAÑA,110986.26000000001
2000,CARNE CERDO,ESPAÑA,437942.76000000007
2000,CARNE DESPOJOS,ESPAÑA,42719.979999999996
2000,OTRAS CARNES FRESCA,ESPAÑA,93579.87999999999
2000,CARNE CONGELADA,ESPAÑA,25874.11
2000,CARNE TRANSFORMADA,ESPAÑA,498709.2700000001
2000,TOCINO Y MANTECA,ESPAÑA,8207.62
2000,PESCADOS FRESCOS,ESPAÑA,472041.50000000006
2000,PESCADOS CONGELADOS,ESPAÑA,109830.71000000002
2000,MARISCO/MOLUSCO/CRUS,ESPAÑA,251854.31
2000,CONS.PESCADO/MOLUSCO,ESPAÑA,146020.71000000002
2000,LECHE ENTERA,ESPAÑA,1987274.9400000002
2000,LECHE DESNATADA,ESPAÑA,806380.4900000001
2000,LECHE SEMIDESNATAD,ESPAÑA,1068812.8899999997
2000,TOTAL OTRAS LECHES,ESPAÑA,23198.300000000003
2000,PREPARADOS LACTEOS,ESPAÑA,62951.030000000006
2000,BATIDOS DE LECHE,ESPAÑA,71024.23
2000,BATIDOS DE YOGURT,ESPAÑA,28033.65
2000,MANTEQUILLA,ESPAÑA,5939.290000000001
2000,QUESO,ESPAÑA,230291.30000000002
2000,HELADOS Y TARTAS,ESPAÑA,78385.75000000001
2000,NATA,ESPAÑA,38767.189999999995
2000,CUAJADAS,ESPAÑA,10691.91
2000,OT.DERIVADOS LACTEOS,ESPAÑA,141747.39
2000,PAN,ESPAÑA,2019178.1600000001
2000,BOLL./PAST.ENVASADA,ESPAÑA,130304.91000000002
2000,GALLETAS ENVASADAS,ESPAÑA,154035.5
2000,CEREALES DESAY.ENV.,ESPAÑA,37254.71
2000,BOLL./PAST.GRANEL,ESPAÑA,72423.07
2000,GALLETAS GRANEL,ESPAÑA,4736.370000000001
2000,PRODUCTOS NAVIDEÑOS,ESPAÑA,43429.87
2000,CHOCOLATES/CACAOS/SUC,ESPAÑA,119479.33999999998
2000,TURRON DE CHOCOLATE,ESPAÑA,7541.02
2000,ARROZ,ESPAÑA,199334.64999999997
2000,TOTAL PASTAS,ESPAÑA,136398.13
2000,AZUCAR,ESPAÑA,199611.93
2000,EDULCORANTES,ESPAÑA,3413.79
2000,TOTAL ACEITES DE OLIVA,ESPAÑA,369732.14
2000,ACEITE DE GIRASOL,ESPAÑA,177918.76
2000,ACEITE DE MAIZ,ESPAÑA,1415.71
2000,ACEITE DE SOJA,ESPAÑA,0.0
2000,ACEITE DE SEMILLA,ESPAÑA,8510.119999999999
2000,ACEITE DE ORUJO,ESPAÑA,39385.22
2000,MARGARINA,ESPAÑA,32145.86
2000,ACEITUNAS,ESPAÑA,93319.43
2000,TOTAL ZUMO Y NECTAR,ESPAÑA,435692.56999999995
2000,PATATAS FRESCAS,ESPAÑA,1088906.73
2000,PATATAS CONGELADAS,ESPAÑA,24220.850000000006
2000,PATATAS PROCESADAS,ESPAÑA,49855.31999999999
2000,TOMATES,ESPAÑA,523053.38
2000,CEBOLLAS,ESPAÑA,250106.97999999998
2000,AJOS,ESPAÑA,37455.17
2000,COLES,ESPAÑA,54356.770000000004
2000,PEPINOS,ESPAÑA,80599.70000000001
2000,JUDIAS VERDES,ESPAÑA,97965.88
