AÑO,CATEGORÍAS,REGIONES,VOLUMEN
2000-01-01,Huevos,Cataluña,62708.71
2000-01-01,Miel,Cataluña,2839.71
2000-01-01,Carne,Cataluña,327729.85
2000-01-01,Pesca,Cataluña,153649.75
2000-01-01,Leche líquida,Cataluña,514569.63
2000-01-01,Otras leches,Cataluña,2462.28
2000-01-01,Preparados lacteos,Cataluña,9463.39
2000-01-01,Derivados lacteos,Cataluña,159999.52
2000-01-01,Pan,Cataluña,254264.06
2000-01-01,Boll/Past/Gallet/Cere,Cataluña,65397.09
2000-01-01,Choco/Cacao/Suc,Cataluña,14845.16
2000-01-01,Arroz,Cataluña,28818.4
2000-01-01,Pasta,Cataluña,28567.07
2000-01-01,Azucar,Cataluña,23312.84
2000-01-01,Edulcorante,Cataluña,642.63
2000-01-01,Legumbre,Cataluña,29999.31
2000-01-01,Aceite,Cataluña,83767.99
2000-01-01,Margarina,Cataluña,4075.0
2000-01-01,Aceitunas,Cataluña,23406.6
2000-01-01,Zumos,Cataluña,69183.38
2000-01-01,Patatas,Cataluña,211318.54
2000-01-01,Hortalizas frescas,Cataluña,409759.89
2000-01-01,Frutas frescas,Cataluña,583731.06
2000-01-01,Frutos secos,Cataluña,18539.24
2000-01-01,Platos preparados,Cataluña,48331.77
2000-01-01,Cafés e infusiones,Cataluña,11112.61
2000-01-01,Caldos,Cataluña,947.02
2000-01-01,Salsas,Cataluña,7778.95
2000-01-01,Agua,Cataluña,403403.31
2000-01-01,Refrescos,Cataluña,221828.1
2000-01-01,Otros productos en peso,Cataluña,31289.72
2000-01-01,Otros productos en volumen,Cataluña,8489.99
2001-01-01,Huevos,Cataluña,59887.25
2001-01-01,Miel,Cataluña,4180.81
2001-01-01,Carne,Cataluña,321632.31
2001-01-01,Pesca,Cataluña,159901.86
2001-01-01,Leche líquida,Cataluña,501544.51
2001-01-01,Otras leches,Cataluña,2329.24
2001-01-01,Preparados lacteos,Cataluña,11704.1
2001-01-01,Derivados lacteos,Cataluña,163925.02
2001-01-01,Pan,Cataluña,242344.07
2001-01-01,Boll/Past/Gallet/Cere,Cataluña,69056.72
2001-01-01,Choco/Cacao/Suc,Cataluña,14952.3
2001-01-01,Arroz,Cataluña,28774.81
2001-01-01,Pasta,Cataluña,27001.27
2001-01-01,Azucar,Cataluña,22146.04
2001-01-01,Edulcorante,Cataluña,628.31
2001-01-01,Legumbre,Cataluña,26848.17
2001-01-01,Aceite,Cataluña,85617.07
2001-01-01,Margarina,Cataluña,3990.38
2001-01-01,Aceitunas,Cataluña,24681.43
2001-01-01,Zumos,Cataluña,78383.89
2001-01-01,Patatas,Cataluña,186050.72
2001-01-01,Hortalizas frescas,Cataluña,395613.98
2001-01-01,Frutas frescas,Cataluña,591742.87
2001-01-01,Frutos secos,Cataluña,22060.13
2001-01-01,Platos preparados,Cataluña,52367.61
2001-01-01,Cafés e infusiones,Cataluña,11097.32
2001-01-01,Caldos,Cataluña,912.49
2001-01-01,Salsas,Cataluña,8785.25
2001-01-01,Agua,Cataluña,420656.19
2001-01-01,Refrescos,Cataluña,235826.53
2001-01-01,Otros productos en peso,Cataluña,29690.42
2001-01-01,Otros productos en volumen,Cataluña,11698.32
2002-01-01,Huevos,Cataluña,58394.63
2002-01-01,Miel,Cataluña,3262.6
2002-01-01,Carne,Cataluña,337299.23
2002-01-01,Pesca,Cataluña,162654.4
2002-01-01,Leche líquida,Cataluña,507427.48
2002-01-01,Otras leches,Cataluña,2610.33
2002-01-01,Preparados lacteos,Cataluña,9352.51
2002-01-01,Derivados lacteos,Cataluña,171329.07
2002-01-01,Pan,Cataluña,260226.04
2002-01-01,Boll/Past/Gallet/Cere,Cataluña,72126.24
2002-01-01,Choco/Cacao/Suc,Cataluña,15166.28
2002-01-01,Arroz,Cataluña,28850.47
2002-01-01,Pasta,Cataluña,29441.49
2002-01-01,Azucar,Cataluña,21890.44
2002-01-01,Edulcorante,Cataluña,687.91
2002-01-01,Legumbre,Cataluña,26866.11
2002-01-01,Aceite,Cataluña,80949.81
2002-01-01,Margarina,Cataluña,4244.23
2002-01-01,Aceitunas,Cataluña,26224.95
2002-01-01,Zumos,Cataluña,73457.64
2002-01-01,Patatas,Cataluña,191216.39
2002-01-01,Hortalizas frescas,Cataluña,417132.23
2002-01-01,Frutas frescas,Cataluña,605135.45
2002-01-01,Frutos secos,Cataluña,20737.99
2002-01-01,Platos preparados,Cataluña,66127.1
2002-01-01,Cafés e infusiones,Cataluña,11415.63
2002-01-01,Caldos,Cataluña,917.18
2002-01-01,Salsas,Cataluña,9159.23
2002-01-01,Agua,Cataluña,441544.43
2002-01-01,Refrescos,Cataluña,226752.91
2002-01-01,Otros productos en peso,Cataluña,33652.19
2002-01-01,Otros productos en volumen,Cataluña,14970.55
2003-01-01,Huevos,Cataluña,59883.13
2003-01-01,Miel,Cataluña,3063.16
2003-01-01,Carne,Cataluña,339513.84
2003-01-01,Pesca,Cataluña,171955.39
2003-01-01,Leche líquida,Cataluña,503972.65
2003-01-01,Otras leches,Cataluña,2687.97
2003-01-01,Preparados lacteos,Cataluña,5198.21
2003-01-01,Derivados lacteos,Cataluña,177803.93
2003-01-01,Pan,Cataluña,250070.91
2003-01-01,Boll/Past/Gallet/Cere,Cataluña,74296.67
2003-01-01,Choco/Cacao/Suc,Cataluña,16312.97
2003-01-01,Arroz,Cataluña,30237.63
2003-01-01,Pasta,Cataluña,33267.41
2003-01-01,Azucar,Cataluña,22289.52
2003-01-01,Edulcorante,Cataluña,737.91
2003-01-01,Legumbre,Cataluña,27474.43
2003-01-01,Aceite,Cataluña,84556.9
2003-01-01,Margarina,Cataluña,4051.87
2003-01-01,Aceitunas,Cataluña,26691.8
2003-01-01,Zumos,Cataluña,79739.39
2003-01-01,Patatas,Cataluña,201066.16
2003-01-01,Hortalizas frescas,Cataluña,432130.36
2003-01-01,Frutas frescas,Cataluña,642285.75
2003-01-01,Frutos secos,Cataluña,23158.86
2003-01-01,Platos preparados,Cataluña,74009.08
2003-01-01,Cafés e infusiones,Cataluña,11046.44
2003-01-01,Caldos,Cataluña,919.01
2003-01-01,Salsas,Cataluña,9429.59
2003-01-01,Agua,Cataluña,495833.9
2003-01-01,Refrescos,Cataluña,259881.84
2003-01-01,Otros productos en peso,Cataluña,33930.26
2003-01-01,Otros productos en volumen,Cataluña,20885.83
2004-01-01,Huevos,Cataluña,56638.26
2004-01-01,Miel,Cataluña,3225.71
2004-01-01,Carne,Cataluña,325189.83
2004-01-01,Pesca,Cataluña,174232.96
2004-01-01,Leche líquida,Cataluña,508940.32
2004-01-01,Otras leches,Cataluña,2843.75
2004-01-01,Preparados lacteos,Cataluña,5072.73
2004-01-01,Derivados lacteos,Cataluña,194171.56
2004-01-01,Pan,Cataluña,250887.49
2004-01-01,Boll/Past/Gallet/Cere,Cataluña,75905.46
2004-01-01,Choco/Cacao/Suc,Cataluña,16979.35
2004-01-01,Arroz,Cataluña,30097.93
2004-01-01,Pasta,Cataluña,34747.69
2004-01-01,Azucar,Cataluña,23865.47
2004-01-01,Edulcorante,Cataluña,337.81
2004-01-01,Legumbre,Cataluña,28290.64
2004-01-01,Aceite,Cataluña,87269.67
2004-01-01,Margarina,Cataluña,4066.55
2004-01-01,Aceitunas,Cataluña,26734.58
2004-01-01,Vinagre,Cataluña,7439.94
2004-01-01,Zumos,Cataluña,78222.45
2004-01-01,Patatas,Cataluña,209688.2
2004-01-01,Hortalizas frescas,Cataluña,440942.29
2004-01-01,Frutas frescas,Cataluña,662485.57
2004-01-01,Frutos secos,Cataluña,21604.39
2004-01-01,Platos preparados,Cataluña,83008.16
2004-01-01,Cafés e infusiones,Cataluña,10962.0
2004-01-01,Caldos,Cataluña,969.59
2004-01-01,Salsas,Cataluña,9508.75
2004-01-01,Agua,Cataluña,506268.03
2004-01-01,Refrescos,Cataluña,259089.46
2004-01-01,Otros productos en peso,Cataluña,34098.71
2004-01-01,Otros productos en volumen,Cataluña,17963.38
2005-01-01,Huevos,Cataluña,58136.19
2005-01-01,Miel,Cataluña,2745.31
2005-01-01,Carne,Cataluña,332153.77
2005-01-01,Pesca,Cataluña,172273.7
2005-01-01,Leche líquida,Cataluña,487018.87
2005-01-01,Otras leches,Cataluña,2993.27
2005-01-01,Preparados lacteos,Cataluña,7049.76
2005-01-01,Derivados lacteos,Cataluña,200247.25
2005-01-01,Pan,Cataluña,270279.64
2005-01-01,Boll/Past/Gallet/Cere,Cataluña,77955.42
2005-01-01,Choco/Cacao/Suc,Cataluña,17666.07
2005-01-01,Arroz,Cataluña,32003.64
2005-01-01,Pasta,Cataluña,32692.47
2005-01-01,Azucar,Cataluña,22978.91
2005-01-01,Edulcorante,Cataluña,390.29
2005-01-01,Legumbre,Cataluña,28086.72
2005-01-01,Aceite,Cataluña,89730.6
2005-01-01,Margarina,Cataluña,4036.66
2005-01-01,Aceitunas,Cataluña,26823.82
2005-01-01,Vinagre,Cataluña,7134.09
2005-01-01,Zumos,Cataluña,73587.16
2005-01-01,Patatas,Cataluña,200849.08
2005-01-01,Hortalizas frescas,Cataluña,446875.27
2005-01-01,Frutas frescas,Cataluña,678072.45
2005-01-01,Frutos secos,Cataluña,21139.03
2005-01-01,Platos preparados,Cataluña,85152.95
2005-01-01,Cafés e infusiones,Cataluña,10801.37
2005-01-01,Caldos,Cataluña,860.96
2005-01-01,Salsas,Cataluña,9453.97
2005-01-01,Agua,Cataluña,494162.11
2005-01-01,Refrescos,Cataluña,247430.46
2005-01-01,Harinas,Cataluña,8659.3
2005-01-01,Encurtidos,Cataluña,2679.77
2005-01-01,Especias,Cataluña,770.14
2005-01-01,Sal,Cataluña,8388.48
2005-01-01,Otros productos en peso,Cataluña,6824.48
2005-01-01,Otros productos en volumen,Cataluña,21201.25
2006-01-01,Huevos,Cataluña,56647.78
2006-01-01,Miel,Cataluña,2768.93
2006-01-01,Carne,Cataluña,348695.56
2006-01-01,Pesca,Cataluña,179043.83
2006-01-01,Leche líquida,Cataluña,465457.25
2006-01-01,Otras leches,Cataluña,2618.33
2006-01-01,Preparados lacteos,Cataluña,7532.8
2006-01-01,Derivados lacteos,Cataluña,203669.83
2006-01-01,Pan,Cataluña,252617.3
2006-01-01,Boll/Past/Gallet/Cere,Cataluña,76900.19
2006-01-01,Choco/Cacao/Suc,Cataluña,17250.81
2006-01-01,Arroz,Cataluña,30230.93
2006-01-01,Pasta,Cataluña,32225.38
2006-01-01,Azucar,Cataluña,21996.83
2006-01-01,Edulcorante,Cataluña,355.8
2006-01-01,Legumbre,Cataluña,25811.12
2006-01-01,Aceite,Cataluña,84624.0
2006-01-01,Margarina,Cataluña,4163.34
2006-01-01,Aceitunas,Cataluña,26279.87
2006-01-01,Vinagre,Cataluña,7067.02
2006-01-01,Zumos,Cataluña,70961.56
2006-01-01,Patatas,Cataluña,203325.31
2006-01-01,Hortalizas frescas,Cataluña,480465.46
2006-01-01,Frutas frescas,Cataluña,717767.38
2006-01-01,Frutos secos,Cataluña,24341.0
2006-01-01,Platos preparados,Cataluña,83231.11
2006-01-01,Cafés e infusiones,Cataluña,10612.23
2006-01-01,Caldos,Cataluña,864.07
2006-01-01,Salsas,Cataluña,10260.33
2006-01-01,Agua,Cataluña,494854.77
2006-01-01,Refrescos,Cataluña,250061.98
2006-01-01,Harinas,Cataluña,9771.73
2006-01-01,Encurtidos,Cataluña,2962.08
2006-01-01,Especias,Cataluña,710.42
2006-01-01,Sal,Cataluña,8463.91
2006-01-01,Otros productos en peso,Cataluña,6707.58
2006-01-01,Otros productos en volumen,Cataluña,19369.72
2007-01-01,Huevos,Cataluña,55811.5
2007-01-01,Miel,Cataluña,4028.68
2007-01-01,Carne,Cataluña,364965.96
2007-01-01,Pesca,Cataluña,179909.74
2007-01-01,Leche líquida,Cataluña,461869.45
2007-01-01,Otras leches,Cataluña,3479.0
2007-01-01,Preparados lacteos,Cataluña,10281.32
2007-01-01,Derivados lacteos,Cataluña,210479.42
2007-01-01,Pan,Cataluña,251136.52
2007-01-01,Boll/Past/Gallet/Cere,Cataluña,80051.25
2007-01-01,Choco/Cacao/Suc,Cataluña,17855.85
2007-01-01,Arroz,Cataluña,29451.59
2007-01-01,Pasta,Cataluña,32784.88
2007-01-01,Azucar,Cataluña,22982.07
2007-01-01,Edulcorante,Cataluña,416.85
2007-01-01,Legumbre,Cataluña,25711.22
2007-01-01,Aceite,Cataluña,88345.86
2007-01-01,Margarina,Cataluña,4338.2
2007-01-01,Aceitunas,Cataluña,23433.31
2007-01-01,Vinagre,Cataluña,6719.09
2007-01-01,Zumos,Cataluña,77167.63
2007-01-01,Patatas,Cataluña,209260.64
2007-01-01,Hortalizas frescas,Cataluña,484494.22
2007-01-01,Frutas frescas,Cataluña,729286.28
2007-01-01,Frutos secos,Cataluña,22003.6
2007-01-01,Platos preparados,Cataluña,88586.82
2007-01-01,Cafés e infusiones,Cataluña,11062.85
2007-01-01,Caldos,Cataluña,846.69
2007-01-01,Salsas,Cataluña,10759.23
2007-01-01,Agua,Cataluña,489152.03
2007-01-01,Refrescos,Cataluña,255618.22
2007-01-01,Harinas,Cataluña,9592.19
2007-01-01,Encurtidos,Cataluña,3157.35
2007-01-01,Especias,Cataluña,627.17
2007-01-01,Sal,Cataluña,8422.14
2007-01-01,Otros productos en peso,Cataluña,6865.68
2007-01-01,Otros productos en volumen,Cataluña,18605.84
2008-01-01,Huevos,Cataluña,56154.71
2008-01-01,Miel,Cataluña,3057.34
2008-01-01,Carne,Cataluña,396300.86
2008-01-01,Pesca,Cataluña,199152.42
2008-01-01,Leche líquida,Cataluña,472848.7
2008-01-01,Otras leches,Cataluña,4311.64
2008-01-01,Preparados lacteos,Cataluña,15710.61
2008-01-01,Derivados lacteos,Cataluña,235824.93
2008-01-01,Pan,Cataluña,257732.22
2008-01-01,Boll/Past/Gallet/Cere,Cataluña,88720.9
2008-01-01,Choco/Cacao/Suc,Cataluña,20782.9
2008-01-01,Arroz,Cataluña,26512.26
2008-01-01,Pasta,Cataluña,35804.91
2008-01-01,Azucar,Cataluña,24652.55
2008-01-01,Edulcorante,Cataluña,378.86
2008-01-01,Legumbre,Cataluña,26084.83
2008-01-01,Aceite,Cataluña,83694.9
2008-01-01,Margarina,Cataluña,4473.66
2008-01-01,Aceitunas,Cataluña,23591.95
2008-01-01,Vinagre,Cataluña,6410.73
2008-01-01,Zumos,Cataluña,82377.79
2008-01-01,Patatas,Cataluña,229691.36
2008-01-01,Hortalizas frescas,Cataluña,538568.08
2008-01-01,Frutas frescas,Cataluña,775834.57
2008-01-01,Frutos secos,Cataluña,21313.56
2008-01-01,Platos preparados,Cataluña,98792.01
2008-01-01,Cafés e infusiones,Cataluña,12408.18
2008-01-01,Caldos,Cataluña,1087.41
2008-01-01,Salsas,Cataluña,12922.9
2008-01-01,Agua,Cataluña,537164.8
2008-01-01,Refrescos,Cataluña,292296.27
2008-01-01,Harinas,Cataluña,10974.85
2008-01-01,Encurtidos,Cataluña,2870.48
2008-01-01,Especias,Cataluña,579.45
2008-01-01,Sal,Cataluña,8481.23
2008-01-01,Otros productos en peso,Cataluña,7307.45
2008-01-01,Otros productos en volumen,Cataluña,23575.39
2009-01-01,Huevos,Cataluña,58673.56
2009-01-01,Miel,Cataluña,3735.17
2009-01-01,Carne,Cataluña,395181.77
2009-01-01,Pesca,Cataluña,205038.33
2009-01-01,Leche líquida,Cataluña,476813.09
2009-01-01,Otras leches,Cataluña,3693.88
2009-01-01,Preparados lacteos,Cataluña,11523.71
2009-01-01,Derivados lacteos,Cataluña,240180.47
2009-01-01,Pan,Cataluña,248487.04
2009-01-01,Boll/Past/Gallet/Cere,Cataluña,89245.13
2009-01-01,Choco/Cacao/Suc,Cataluña,21227.07
2009-01-01,Arroz,Cataluña,28216.53
2009-01-01,Pasta,Cataluña,36491.33
2009-01-01,Azucar,Cataluña,25758.15
2009-01-01,Edulcorante,Cataluña,387.6
2009-01-01,Legumbre,Cataluña,25667.27
2009-01-01,Aceite,Cataluña,86462.02
2009-01-01,Margarina,Cataluña,4770.02
2009-01-01,Aceitunas,Cataluña,24236.06
2009-01-01,Vinagre,Cataluña,6786.14
2009-01-01,Zumos,Cataluña,83727.75
2009-01-01,Patatas,Cataluña,235170.17
2009-01-01,Hortalizas frescas,Cataluña,563368.48
2009-01-01,Frutas frescas,Cataluña,802584.89
2009-01-01,Frutos secos,Cataluña,22442.13
2009-01-01,Platos preparados,Cataluña,104262.26
2009-01-01,Cafés e infusiones,Cataluña,11943.71
2009-01-01,Caldos,Cataluña,1042.28
2009-01-01,Salsas,Cataluña,13193.43
2009-01-01,Agua,Cataluña,498296.37
2009-01-01,Refrescos,Cataluña,316786.59
2009-01-01,Harinas,Cataluña,12680.57
2009-01-01,Encurtidos,Cataluña,2695.55
2009-01-01,Especias,Cataluña,571.43
2009-01-01,Sal,Cataluña,8624.66
2009-01-01,Otros productos en peso,Cataluña,7033.02
2009-01-01,Otros productos en volumen,Cataluña,25215.18
2010-01-01,Huevos,Cataluña,55980.72
2010-01-01,Miel,Cataluña,3638.52
2010-01-01,Carne,Cataluña,390896.68
2010-01-01,Pesca,Cataluña,193202.49
2010-01-01,Leche líquida,Cataluña,476768.28
2010-01-01,Otras leches,Cataluña,4169.8
2010-01-01,Preparados lacteos,Cataluña,12990.32
2010-01-01,Derivados lacteos,Cataluña,251621.16
2010-01-01,Pan,Cataluña,231639.17
2010-01-01,Boll/Past/Gallet/Cere,Cataluña,92356.17
2010-01-01,Choco/Cacao/Suc,Cataluña,21023.4
2010-01-01,Arroz,Cataluña,29693.89
2010-01-01,Pasta,Cataluña,37331.01
2010-01-01,Azucar,Cataluña,24654.76
2010-01-01,Edulcorante,Cataluña,472.01
2010-01-01,Legumbre,Cataluña,26903.68
2010-01-01,Aceite,Cataluña,91995.31
2010-01-01,Margarina,Cataluña,4889.4
2010-01-01,Aceitunas,Cataluña,22810.96
2010-01-01,Vinagre,Cataluña,6221.73
2010-01-01,Zumos,Cataluña,96956.07
2010-01-01,Patatas,Cataluña,232767.96
2010-01-01,Hortalizas frescas,Cataluña,526717.83
2010-01-01,Frutas frescas,Cataluña,793763.17
2010-01-01,Frutos secos,Cataluña,23041.17
2010-01-01,Platos preparados,Cataluña,107439.89
2010-01-01,Cafés e infusiones,Cataluña,11681.35
2010-01-01,Caldos,Cataluña,1112.72
2010-01-01,Salsas,Cataluña,14067.45
2010-01-01,Agua,Cataluña,500941.6
2010-01-01,Refrescos,Cataluña,311640.78
2010-01-01,Harinas,Cataluña,13069.59
2010-01-01,Encurtidos,Cataluña,2887.71
2010-01-01,Especias,Cataluña,660.04
2010-01-01,Sal,Cataluña,8930.67
2010-01-01,Otros productos en peso,Cataluña,6114.29
2010-01-01,Otros productos en volumen,Cataluña,27125.94
2011-01-01,Huevos,Cataluña,54236.39
2011-01-01,Miel,Cataluña,3105.72
2011-01-01,Carne,Cataluña,387758.18
2011-01-01,Pesca,Cataluña,191548.14
2011-01-01,Leche líquida,Cataluña,457347.03
2011-01-01,Otras leches,Cataluña,3855.35
2011-01-01,Preparados lacteos,Cataluña,12136.04
2011-01-01,Derivados lacteos,Cataluña,253333.74
2011-01-01,Pan,Cataluña,224377.33
2011-01-01,Boll/Past/Gallet/Cere,Cataluña,91053.31
2011-01-01,Choco/Cacao/Suc,Cataluña,21234.05
2011-01-01,Arroz,Cataluña,30865.06
2011-01-01,Pasta,Cataluña,36517.84
2011-01-01,Azucar,Cataluña,24811.0
2011-01-01,Edulcorante,Cataluña,572.84
2011-01-01,Legumbre,Cataluña,26188.21
2011-01-01,Aceite,Cataluña,92381.14
2011-01-01,Margarina,Cataluña,4436.67
2011-01-01,Aceitunas,Cataluña,22547.2
2011-01-01,Vinagre,Cataluña,6721.79
2011-01-01,Zumos,Cataluña,89591.27
2011-01-01,Patatas,Cataluña,219454.67
2011-01-01,Hortalizas frescas,Cataluña,531099.47
2011-01-01,Frutas frescas,Cataluña,780475.32
2011-01-01,Frutos secos,Cataluña,20687.84
2011-01-01,Platos preparados,Cataluña,107749.64
2011-01-01,Cafés e infusiones,Cataluña,12103.34
2011-01-01,Caldos,Cataluña,1085.2
2011-01-01,Salsas,Cataluña,14265.08
2011-01-01,Agua,Cataluña,489077.01
2011-01-01,Refrescos,Cataluña,317334.69
2011-01-01,Harinas,Cataluña,12978.54
2011-01-01,Encurtidos,Cataluña,2586.32
2011-01-01,Especias,Cataluña,659.83
2011-01-01,Sal,Cataluña,9179.79
2011-01-01,Otros productos en peso,Cataluña,6060.41
2011-01-01,Otros productos en volumen,Cataluña,32719.71
2012-01-01,Huevos,Cataluña,55013.8
2012-01-01,Miel,Cataluña,3299.58
2012-01-01,Carne,Cataluña,388179.74
2012-01-01,Pesca,Cataluña,181629.82
2012-01-01,Leche líquida,Cataluña,447775.64
2012-01-01,Otras leches,Cataluña,3893.69
2012-01-01,Preparados lacteos,Cataluña,14337.13
2012-01-01,Derivados lacteos,Cataluña,251530.0
2012-01-01,Pan,Cataluña,229549.6
2012-01-01,Boll/Past/Gallet/Cere,Cataluña,90527.6
2012-01-01,Choco/Cacao/Suc,Cataluña,22030.92
2012-01-01,Arroz,Cataluña,29802.02
2012-01-01,Pasta,Cataluña,36368.5
2012-01-01,Azucar,Cataluña,24200.0
2012-01-01,Edulcorante,Cataluña,616.59
2012-01-01,Legumbre,Cataluña,26749.5
2012-01-01,Aceite,Cataluña,85585.65
2012-01-01,Margarina,Cataluña,4438.07
2012-01-01,Aceitunas,Cataluña,24292.27
2012-01-01,Vinagre,Cataluña,6605.69
2012-01-01,Zumos,Cataluña,81942.44
2012-01-01,Patatas,Cataluña,224440.55
2012-01-01,Hortalizas frescas,Cataluña,518945.39
2012-01-01,Frutas frescas,Cataluña,795384.98
2012-01-01,Frutos secos,Cataluña,20786.19
2012-01-01,Platos preparados,Cataluña,111777.22
2012-01-01,Cafés e infusiones,Cataluña,12205.35
2012-01-01,Caldos,Cataluña,1102.33
2012-01-01,Salsas,Cataluña,14617.01
2012-01-01,Agua,Cataluña,486267.24
2012-01-01,Refrescos,Cataluña,308531.3
2012-01-01,Harinas,Cataluña,12911.74
